[epoch 1] train_loss: 4.783  val_accuracy: 0.493
[epoch 2] train_loss: 2.193  val_accuracy: 0.577
[epoch 3] train_loss: 1.751  val_accuracy: 0.630
[epoch 4] train_loss: 1.559  val_accuracy: 0.650
[epoch 6] train_loss: 1.375  val_accuracy: 0.690
[epoch 8] train_loss: 1.222  val_accuracy: 0.719
[epoch 16] train_loss: 0.941  val_accuracy: 0.727
[epoch 18] train_loss: 0.890  val_accuracy: 0.742
[epoch 19] train_loss: 0.879  val_accuracy: 0.763
[epoch 22] train_loss: 0.809  val_accuracy: 0.783
[epoch 25] train_loss: 0.761  val_accuracy: 0.786
[epoch 26] train_loss: 0.731  val_accuracy: 0.787
[epoch 27] train_loss: 0.713  val_accuracy: 0.788
[epoch 33] train_loss: 0.629  val_accuracy: 0.791
[epoch 36] train_loss: 0.604  val_accuracy: 0.801
[epoch 39] train_loss: 0.564  val_accuracy: 0.809
[epoch 58] train_loss: 0.470  val_accuracy: 0.809
