[epoch 1] train_loss: 4.785  val_accuracy: 0.515
[epoch 2] train_loss: 2.195  val_accuracy: 0.578
[epoch 3] train_loss: 1.767  val_accuracy: 0.659
[epoch 6] train_loss: 1.366  val_accuracy: 0.674
[epoch 9] train_loss: 1.199  val_accuracy: 0.696
[epoch 11] train_loss: 1.112  val_accuracy: 0.723
[epoch 12] train_loss: 1.061  val_accuracy: 0.738
[epoch 15] train_loss: 0.982  val_accuracy: 0.740
[epoch 16] train_loss: 0.952  val_accuracy: 0.740
[epoch 18] train_loss: 0.902  val_accuracy: 0.747
[epoch 20] train_loss: 0.871  val_accuracy: 0.781
[epoch 24] train_loss: 0.765  val_accuracy: 0.785
[epoch 31] train_loss: 0.665  val_accuracy: 0.785
[epoch 32] train_loss: 0.621  val_accuracy: 0.797
[epoch 38] train_loss: 0.572  val_accuracy: 0.798
[epoch 51] train_loss: 0.479  val_accuracy: 0.808
[epoch 52] train_loss: 0.474  val_accuracy: 0.809
[epoch 82] train_loss: 0.424  val_accuracy: 0.811
[epoch 86] train_loss: 0.420  val_accuracy: 0.815
[epoch 286] train_loss: 0.415  val_accuracy: 0.816
