[epoch 1] train_loss: 6.675  val_accuracy: 0.281
[epoch 2] train_loss: 3.677  val_accuracy: 0.478
[epoch 3] train_loss: 2.580  val_accuracy: 0.534
[epoch 4] train_loss: 2.119  val_accuracy: 0.561
[epoch 5] train_loss: 1.887  val_accuracy: 0.626
[epoch 8] train_loss: 1.507  val_accuracy: 0.654
[epoch 10] train_loss: 1.380  val_accuracy: 0.660
[epoch 13] train_loss: 1.257  val_accuracy: 0.688
[epoch 16] train_loss: 1.162  val_accuracy: 0.695
[epoch 18] train_loss: 1.127  val_accuracy: 0.708
[epoch 19] train_loss: 1.096  val_accuracy: 0.717
[epoch 29] train_loss: 0.900  val_accuracy: 0.744
[epoch 33] train_loss: 0.851  val_accuracy: 0.749
[epoch 34] train_loss: 0.832  val_accuracy: 0.749
[epoch 38] train_loss: 0.755  val_accuracy: 0.756
[epoch 40] train_loss: 0.743  val_accuracy: 0.764
[epoch 42] train_loss: 0.725  val_accuracy: 0.772
[epoch 49] train_loss: 0.652  val_accuracy: 0.781
[epoch 60] train_loss: 0.555  val_accuracy: 0.799
[epoch 86] train_loss: 0.406  val_accuracy: 0.807
[epoch 119] train_loss: 0.299  val_accuracy: 0.810
[epoch 136] train_loss: 0.278  val_accuracy: 0.822
[epoch 162] train_loss: 0.230  val_accuracy: 0.822
