[epoch 1] train_loss: 6.684  val_accuracy: 0.258
[epoch 2] train_loss: 3.681  val_accuracy: 0.515
[epoch 3] train_loss: 2.562  val_accuracy: 0.544
[epoch 4] train_loss: 2.112  val_accuracy: 0.603
[epoch 6] train_loss: 1.703  val_accuracy: 0.638
[epoch 7] train_loss: 1.615  val_accuracy: 0.643
[epoch 10] train_loss: 1.389  val_accuracy: 0.657
[epoch 12] train_loss: 1.309  val_accuracy: 0.668
[epoch 13] train_loss: 1.274  val_accuracy: 0.685
[epoch 16] train_loss: 1.176  val_accuracy: 0.697
[epoch 22] train_loss: 1.015  val_accuracy: 0.703
[epoch 23] train_loss: 1.001  val_accuracy: 0.706
[epoch 27] train_loss: 0.940  val_accuracy: 0.721
[epoch 28] train_loss: 0.929  val_accuracy: 0.727
[epoch 29] train_loss: 0.902  val_accuracy: 0.743
[epoch 34] train_loss: 0.841  val_accuracy: 0.758
[epoch 38] train_loss: 0.777  val_accuracy: 0.765
[epoch 43] train_loss: 0.716  val_accuracy: 0.777
[epoch 45] train_loss: 0.691  val_accuracy: 0.780
[epoch 57] train_loss: 0.582  val_accuracy: 0.783
[epoch 66] train_loss: 0.514  val_accuracy: 0.795
[epoch 67] train_loss: 0.493  val_accuracy: 0.804
[epoch 74] train_loss: 0.441  val_accuracy: 0.809
[epoch 142] train_loss: 0.255  val_accuracy: 0.812
[epoch 155] train_loss: 0.242  val_accuracy: 0.815
[epoch 200] train_loss: 0.212  val_accuracy: 0.817
