[epoch 1] train_loss: 5.445  val_accuracy: 0.457
[epoch 2] train_loss: 2.561  val_accuracy: 0.555
[epoch 3] train_loss: 1.957  val_accuracy: 0.604
[epoch 4] train_loss: 1.674  val_accuracy: 0.644
[epoch 5] train_loss: 1.564  val_accuracy: 0.672
[epoch 6] train_loss: 1.442  val_accuracy: 0.685
[epoch 7] train_loss: 1.378  val_accuracy: 0.689
[epoch 11] train_loss: 1.168  val_accuracy: 0.705
[epoch 13] train_loss: 1.107  val_accuracy: 0.717
[epoch 16] train_loss: 1.017  val_accuracy: 0.741
[epoch 17] train_loss: 0.967  val_accuracy: 0.751
[epoch 23] train_loss: 0.848  val_accuracy: 0.763
[epoch 33] train_loss: 0.666  val_accuracy: 0.782
[epoch 34] train_loss: 0.680  val_accuracy: 0.789
[epoch 40] train_loss: 0.613  val_accuracy: 0.790
[epoch 42] train_loss: 0.579  val_accuracy: 0.797
[epoch 54] train_loss: 0.497  val_accuracy: 0.798
[epoch 57] train_loss: 0.502  val_accuracy: 0.800
[epoch 65] train_loss: 0.472  val_accuracy: 0.810
[epoch 70] train_loss: 0.457  val_accuracy: 0.815
