[epoch 1] train_loss: 3.932  val_accuracy: 0.554
[epoch 2] train_loss: 1.881  val_accuracy: 0.629
[epoch 3] train_loss: 1.581  val_accuracy: 0.662
[epoch 4] train_loss: 1.433  val_accuracy: 0.692
[epoch 6] train_loss: 1.281  val_accuracy: 0.704
[epoch 7] train_loss: 1.224  val_accuracy: 0.729
[epoch 11] train_loss: 1.028  val_accuracy: 0.732
[epoch 15] train_loss: 0.920  val_accuracy: 0.760
[epoch 18] train_loss: 0.861  val_accuracy: 0.761
[epoch 19] train_loss: 0.837  val_accuracy: 0.770
[epoch 20] train_loss: 0.805  val_accuracy: 0.770
[epoch 21] train_loss: 0.782  val_accuracy: 0.780
[epoch 23] train_loss: 0.750  val_accuracy: 0.790
[epoch 27] train_loss: 0.692  val_accuracy: 0.799
[epoch 30] train_loss: 0.637  val_accuracy: 0.805
[epoch 33] train_loss: 0.595  val_accuracy: 0.816
[epoch 57] train_loss: 0.401  val_accuracy: 0.816
[epoch 72] train_loss: 0.350  val_accuracy: 0.818
