[epoch 1] train_loss: 5.953  val_accuracy: 0.392
[epoch 2] train_loss: 2.920  val_accuracy: 0.563
[epoch 3] train_loss: 2.143  val_accuracy: 0.571
[epoch 4] train_loss: 1.831  val_accuracy: 0.593
[epoch 5] train_loss: 1.645  val_accuracy: 0.612
[epoch 6] train_loss: 1.557  val_accuracy: 0.643
[epoch 7] train_loss: 1.466  val_accuracy: 0.647
[epoch 8] train_loss: 1.406  val_accuracy: 0.662
[epoch 9] train_loss: 1.307  val_accuracy: 0.686
[epoch 12] train_loss: 1.197  val_accuracy: 0.691
[epoch 15] train_loss: 1.093  val_accuracy: 0.695
[epoch 16] train_loss: 1.063  val_accuracy: 0.698
[epoch 17] train_loss: 1.044  val_accuracy: 0.711
[epoch 19] train_loss: 0.981  val_accuracy: 0.745
[epoch 24] train_loss: 0.891  val_accuracy: 0.756
[epoch 29] train_loss: 0.813  val_accuracy: 0.772
[epoch 37] train_loss: 0.702  val_accuracy: 0.783
[epoch 43] train_loss: 0.608  val_accuracy: 0.784
[epoch 49] train_loss: 0.555  val_accuracy: 0.785
[epoch 64] train_loss: 0.430  val_accuracy: 0.797
[epoch 77] train_loss: 0.370  val_accuracy: 0.798
[epoch 82] train_loss: 0.351  val_accuracy: 0.804
[epoch 85] train_loss: 0.329  val_accuracy: 0.806
[epoch 91] train_loss: 0.319  val_accuracy: 0.808
[epoch 98] train_loss: 0.302  val_accuracy: 0.814
[epoch 106] train_loss: 0.313  val_accuracy: 0.814
[epoch 107] train_loss: 0.284  val_accuracy: 0.819
[epoch 124] train_loss: 0.265  val_accuracy: 0.820
