[epoch 1] train_loss: 5.970  val_accuracy: 0.396
[epoch 2] train_loss: 2.924  val_accuracy: 0.531
[epoch 3] train_loss: 2.139  val_accuracy: 0.575
[epoch 4] train_loss: 1.823  val_accuracy: 0.636
[epoch 5] train_loss: 1.634  val_accuracy: 0.637
[epoch 6] train_loss: 1.536  val_accuracy: 0.661
[epoch 7] train_loss: 1.445  val_accuracy: 0.664
[epoch 9] train_loss: 1.336  val_accuracy: 0.667
[epoch 12] train_loss: 1.185  val_accuracy: 0.670
[epoch 13] train_loss: 1.161  val_accuracy: 0.706
[epoch 15] train_loss: 1.084  val_accuracy: 0.709
[epoch 18] train_loss: 1.019  val_accuracy: 0.718
[epoch 20] train_loss: 0.948  val_accuracy: 0.746
[epoch 21] train_loss: 0.958  val_accuracy: 0.749
[epoch 25] train_loss: 0.844  val_accuracy: 0.751
[epoch 26] train_loss: 0.854  val_accuracy: 0.769
[epoch 33] train_loss: 0.751  val_accuracy: 0.774
[epoch 35] train_loss: 0.693  val_accuracy: 0.776
[epoch 40] train_loss: 0.663  val_accuracy: 0.782
[epoch 50] train_loss: 0.540  val_accuracy: 0.793
[epoch 59] train_loss: 0.468  val_accuracy: 0.793
[epoch 61] train_loss: 0.459  val_accuracy: 0.793
[epoch 71] train_loss: 0.396  val_accuracy: 0.804
[epoch 72] train_loss: 0.397  val_accuracy: 0.813
[epoch 97] train_loss: 0.309  val_accuracy: 0.817
[epoch 101] train_loss: 0.294  val_accuracy: 0.822
[epoch 112] train_loss: 0.275  val_accuracy: 0.825
