[epoch 1] train_loss: 4.795  val_accuracy: 0.524
[epoch 2] train_loss: 2.201  val_accuracy: 0.570
[epoch 3] train_loss: 1.746  val_accuracy: 0.585
[epoch 4] train_loss: 1.563  val_accuracy: 0.623
[epoch 5] train_loss: 1.427  val_accuracy: 0.673
[epoch 7] train_loss: 1.293  val_accuracy: 0.675
[epoch 8] train_loss: 1.245  val_accuracy: 0.681
[epoch 9] train_loss: 1.169  val_accuracy: 0.704
[epoch 12] train_loss: 1.087  val_accuracy: 0.730
[epoch 15] train_loss: 0.968  val_accuracy: 0.746
[epoch 19] train_loss: 0.893  val_accuracy: 0.751
[epoch 20] train_loss: 0.856  val_accuracy: 0.753
[epoch 23] train_loss: 0.799  val_accuracy: 0.777
[epoch 30] train_loss: 0.673  val_accuracy: 0.786
[epoch 31] train_loss: 0.652  val_accuracy: 0.794
[epoch 42] train_loss: 0.515  val_accuracy: 0.806
[epoch 49] train_loss: 0.469  val_accuracy: 0.821
[epoch 65] train_loss: 0.385  val_accuracy: 0.822
[epoch 74] train_loss: 0.354  val_accuracy: 0.823
[epoch 86] train_loss: 0.376  val_accuracy: 0.826
