[epoch 1] train_loss: 4.765  val_accuracy: 0.495
[epoch 2] train_loss: 2.195  val_accuracy: 0.590
[epoch 3] train_loss: 1.725  val_accuracy: 0.649
[epoch 4] train_loss: 1.550  val_accuracy: 0.658
[epoch 5] train_loss: 1.457  val_accuracy: 0.668
[epoch 6] train_loss: 1.382  val_accuracy: 0.685
[epoch 8] train_loss: 1.257  val_accuracy: 0.713
[epoch 11] train_loss: 1.125  val_accuracy: 0.725
[epoch 15] train_loss: 0.964  val_accuracy: 0.730
[epoch 17] train_loss: 0.913  val_accuracy: 0.731
[epoch 19] train_loss: 0.865  val_accuracy: 0.732
[epoch 20] train_loss: 0.883  val_accuracy: 0.741
[epoch 22] train_loss: 0.807  val_accuracy: 0.766
[epoch 25] train_loss: 0.744  val_accuracy: 0.774
[epoch 36] train_loss: 0.601  val_accuracy: 0.776
[epoch 37] train_loss: 0.579  val_accuracy: 0.777
[epoch 38] train_loss: 0.556  val_accuracy: 0.779
[epoch 43] train_loss: 0.519  val_accuracy: 0.794
[epoch 47] train_loss: 0.499  val_accuracy: 0.799
[epoch 52] train_loss: 0.468  val_accuracy: 0.806
[epoch 56] train_loss: 0.481  val_accuracy: 0.810
[epoch 61] train_loss: 0.455  val_accuracy: 0.816
