[epoch 1] train_loss: 4.796  val_accuracy: 0.498
[epoch 2] train_loss: 2.203  val_accuracy: 0.591
[epoch 3] train_loss: 1.763  val_accuracy: 0.640
[epoch 4] train_loss: 1.585  val_accuracy: 0.663
[epoch 7] train_loss: 1.297  val_accuracy: 0.673
[epoch 8] train_loss: 1.241  val_accuracy: 0.702
[epoch 9] train_loss: 1.194  val_accuracy: 0.720
[epoch 12] train_loss: 1.069  val_accuracy: 0.730
[epoch 15] train_loss: 0.976  val_accuracy: 0.752
[epoch 16] train_loss: 0.950  val_accuracy: 0.757
[epoch 20] train_loss: 0.860  val_accuracy: 0.780
[epoch 30] train_loss: 0.658  val_accuracy: 0.795
[epoch 32] train_loss: 0.641  val_accuracy: 0.806
[epoch 50] train_loss: 0.485  val_accuracy: 0.808
[epoch 51] train_loss: 0.481  val_accuracy: 0.811
[epoch 52] train_loss: 0.466  val_accuracy: 0.812
[epoch 59] train_loss: 0.436  val_accuracy: 0.814
[epoch 69] train_loss: 0.416  val_accuracy: 0.817
[epoch 71] train_loss: 0.405  val_accuracy: 0.818
