[epoch 1] train_loss: 4.792  val_accuracy: 0.543
[epoch 2] train_loss: 2.203  val_accuracy: 0.611
[epoch 4] train_loss: 1.568  val_accuracy: 0.671
[epoch 5] train_loss: 1.461  val_accuracy: 0.671
[epoch 6] train_loss: 1.361  val_accuracy: 0.677
[epoch 7] train_loss: 1.298  val_accuracy: 0.698
[epoch 10] train_loss: 1.146  val_accuracy: 0.721
[epoch 14] train_loss: 1.018  val_accuracy: 0.753
[epoch 20] train_loss: 0.839  val_accuracy: 0.768
[epoch 21] train_loss: 0.830  val_accuracy: 0.768
[epoch 24] train_loss: 0.762  val_accuracy: 0.769
[epoch 27] train_loss: 0.729  val_accuracy: 0.784
[epoch 32] train_loss: 0.651  val_accuracy: 0.803
[epoch 38] train_loss: 0.565  val_accuracy: 0.808
[epoch 52] train_loss: 0.483  val_accuracy: 0.810
[epoch 56] train_loss: 0.458  val_accuracy: 0.810
[epoch 59] train_loss: 0.464  val_accuracy: 0.813
[epoch 65] train_loss: 0.438  val_accuracy: 0.814
