[epoch 1] train_loss: 4.777  val_accuracy: 0.494
[epoch 2] train_loss: 2.206  val_accuracy: 0.574
[epoch 3] train_loss: 1.757  val_accuracy: 0.638
[epoch 4] train_loss: 1.563  val_accuracy: 0.667
[epoch 5] train_loss: 1.435  val_accuracy: 0.694
[epoch 7] train_loss: 1.297  val_accuracy: 0.696
[epoch 8] train_loss: 1.260  val_accuracy: 0.705
[epoch 9] train_loss: 1.218  val_accuracy: 0.717
[epoch 13] train_loss: 1.046  val_accuracy: 0.731
[epoch 17] train_loss: 0.935  val_accuracy: 0.754
[epoch 22] train_loss: 0.807  val_accuracy: 0.782
[epoch 31] train_loss: 0.643  val_accuracy: 0.786
[epoch 35] train_loss: 0.604  val_accuracy: 0.793
[epoch 36] train_loss: 0.574  val_accuracy: 0.797
[epoch 39] train_loss: 0.575  val_accuracy: 0.806
[epoch 45] train_loss: 0.507  val_accuracy: 0.807
[epoch 47] train_loss: 0.500  val_accuracy: 0.815
[epoch 51] train_loss: 0.476  val_accuracy: 0.824
[epoch 69] train_loss: 0.424  val_accuracy: 0.826
