[epoch 1] train_loss: 6.355  val_accuracy: 0.326
[epoch 2] train_loss: 3.287  val_accuracy: 0.537
[epoch 3] train_loss: 2.353  val_accuracy: 0.588
[epoch 5] train_loss: 1.774  val_accuracy: 0.614
[epoch 6] train_loss: 1.622  val_accuracy: 0.665
[epoch 10] train_loss: 1.338  val_accuracy: 0.680
[epoch 14] train_loss: 1.178  val_accuracy: 0.705
[epoch 17] train_loss: 1.095  val_accuracy: 0.712
[epoch 20] train_loss: 1.018  val_accuracy: 0.728
[epoch 23] train_loss: 0.961  val_accuracy: 0.742
[epoch 27] train_loss: 0.890  val_accuracy: 0.744
[epoch 28] train_loss: 0.852  val_accuracy: 0.755
[epoch 31] train_loss: 0.813  val_accuracy: 0.767
[epoch 34] train_loss: 0.768  val_accuracy: 0.770
[epoch 36] train_loss: 0.755  val_accuracy: 0.775
[epoch 38] train_loss: 0.716  val_accuracy: 0.777
[epoch 45] train_loss: 0.642  val_accuracy: 0.781
[epoch 49] train_loss: 0.590  val_accuracy: 0.784
[epoch 58] train_loss: 0.516  val_accuracy: 0.786
[epoch 61] train_loss: 0.507  val_accuracy: 0.795
[epoch 65] train_loss: 0.469  val_accuracy: 0.797
[epoch 70] train_loss: 0.437  val_accuracy: 0.809
[epoch 125] train_loss: 0.264  val_accuracy: 0.810
[epoch 128] train_loss: 0.263  val_accuracy: 0.811
[epoch 147] train_loss: 0.241  val_accuracy: 0.818
