[epoch 1] train_loss: 4.807  val_accuracy: 0.539
[epoch 2] train_loss: 2.209  val_accuracy: 0.585
[epoch 3] train_loss: 1.762  val_accuracy: 0.637
[epoch 4] train_loss: 1.566  val_accuracy: 0.638
[epoch 5] train_loss: 1.469  val_accuracy: 0.683
[epoch 6] train_loss: 1.360  val_accuracy: 0.684
[epoch 7] train_loss: 1.283  val_accuracy: 0.715
[epoch 9] train_loss: 1.191  val_accuracy: 0.716
[epoch 13] train_loss: 1.057  val_accuracy: 0.750
[epoch 18] train_loss: 0.914  val_accuracy: 0.751
[epoch 21] train_loss: 0.828  val_accuracy: 0.767
[epoch 24] train_loss: 0.770  val_accuracy: 0.773
[epoch 27] train_loss: 0.713  val_accuracy: 0.784
[epoch 31] train_loss: 0.661  val_accuracy: 0.794
[epoch 41] train_loss: 0.533  val_accuracy: 0.797
[epoch 45] train_loss: 0.513  val_accuracy: 0.821
