[epoch 1] train_loss: 5.767  val_accuracy: 0.427
[epoch 2] train_loss: 3.398  val_accuracy: 0.534
[epoch 3] train_loss: 2.365  val_accuracy: 0.582
[epoch 4] train_loss: 1.960  val_accuracy: 0.605
[epoch 5] train_loss: 1.727  val_accuracy: 0.642
[epoch 10] train_loss: 1.288  val_accuracy: 0.668
[epoch 14] train_loss: 1.133  val_accuracy: 0.711
[epoch 15] train_loss: 1.114  val_accuracy: 0.713
[epoch 19] train_loss: 0.993  val_accuracy: 0.718
[epoch 20] train_loss: 0.957  val_accuracy: 0.720
[epoch 22] train_loss: 0.934  val_accuracy: 0.735
[epoch 28] train_loss: 0.800  val_accuracy: 0.742
[epoch 50] train_loss: 0.486  val_accuracy: 0.760
[epoch 89] train_loss: 0.304  val_accuracy: 0.771
[epoch 104] train_loss: 0.310  val_accuracy: 0.778
[epoch 113] train_loss: 0.301  val_accuracy: 0.784
[epoch 132] train_loss: 0.274  val_accuracy: 0.792
[epoch 146] train_loss: 0.288  val_accuracy: 0.797
[epoch 147] train_loss: 0.263  val_accuracy: 0.798
[epoch 161] train_loss: 0.253  val_accuracy: 0.800
[epoch 163] train_loss: 0.277  val_accuracy: 0.802
[epoch 167] train_loss: 0.283  val_accuracy: 0.821
[epoch 261] train_loss: 0.223  val_accuracy: 0.824
