[epoch 1] train_loss: 4.769  val_accuracy: 0.506
[epoch 2] train_loss: 2.203  val_accuracy: 0.611
[epoch 3] train_loss: 1.742  val_accuracy: 0.639
[epoch 4] train_loss: 1.565  val_accuracy: 0.665
[epoch 5] train_loss: 1.445  val_accuracy: 0.678
[epoch 7] train_loss: 1.276  val_accuracy: 0.700
[epoch 8] train_loss: 1.261  val_accuracy: 0.711
[epoch 11] train_loss: 1.107  val_accuracy: 0.720
[epoch 13] train_loss: 1.038  val_accuracy: 0.725
[epoch 15] train_loss: 0.986  val_accuracy: 0.729
[epoch 16] train_loss: 0.941  val_accuracy: 0.738
[epoch 17] train_loss: 0.921  val_accuracy: 0.749
[epoch 19] train_loss: 0.871  val_accuracy: 0.760
[epoch 23] train_loss: 0.778  val_accuracy: 0.784
[epoch 24] train_loss: 0.773  val_accuracy: 0.801
[epoch 38] train_loss: 0.574  val_accuracy: 0.805
[epoch 41] train_loss: 0.536  val_accuracy: 0.810
[epoch 46] train_loss: 0.487  val_accuracy: 0.818
[epoch 56] train_loss: 0.419  val_accuracy: 0.819
[epoch 58] train_loss: 0.427  val_accuracy: 0.823
