[epoch 1] train_loss: 4.787  val_accuracy: 0.511
[epoch 2] train_loss: 2.206  val_accuracy: 0.593
[epoch 3] train_loss: 1.732  val_accuracy: 0.603
[epoch 4] train_loss: 1.575  val_accuracy: 0.619
[epoch 5] train_loss: 1.458  val_accuracy: 0.634
[epoch 6] train_loss: 1.376  val_accuracy: 0.651
[epoch 8] train_loss: 1.266  val_accuracy: 0.712
[epoch 10] train_loss: 1.155  val_accuracy: 0.717
[epoch 11] train_loss: 1.124  val_accuracy: 0.733
[epoch 13] train_loss: 1.017  val_accuracy: 0.756
[epoch 19] train_loss: 0.875  val_accuracy: 0.763
[epoch 23] train_loss: 0.792  val_accuracy: 0.765
[epoch 26] train_loss: 0.756  val_accuracy: 0.772
[epoch 27] train_loss: 0.714  val_accuracy: 0.775
[epoch 32] train_loss: 0.630  val_accuracy: 0.790
[epoch 41] train_loss: 0.521  val_accuracy: 0.791
[epoch 46] train_loss: 0.489  val_accuracy: 0.793
[epoch 48] train_loss: 0.468  val_accuracy: 0.803
[epoch 54] train_loss: 0.418  val_accuracy: 0.815
[epoch 60] train_loss: 0.414  val_accuracy: 0.816
