[epoch 1] train_loss: 6.849  val_accuracy: 0.215
[epoch 2] train_loss: 5.956  val_accuracy: 0.253
[epoch 3] train_loss: 4.707  val_accuracy: 0.427
[epoch 4] train_loss: 3.426  val_accuracy: 0.597
[epoch 5] train_loss: 2.526  val_accuracy: 0.654
[epoch 8] train_loss: 1.679  val_accuracy: 0.673
[epoch 9] train_loss: 1.580  val_accuracy: 0.685
[epoch 15] train_loss: 1.258  val_accuracy: 0.694
[epoch 17] train_loss: 1.190  val_accuracy: 0.702
[epoch 19] train_loss: 1.129  val_accuracy: 0.705
[epoch 23] train_loss: 1.019  val_accuracy: 0.724
[epoch 25] train_loss: 0.956  val_accuracy: 0.726
[epoch 27] train_loss: 0.917  val_accuracy: 0.739
[epoch 35] train_loss: 0.740  val_accuracy: 0.741
[epoch 37] train_loss: 0.721  val_accuracy: 0.742
[epoch 38] train_loss: 0.703  val_accuracy: 0.744
[epoch 42] train_loss: 0.618  val_accuracy: 0.747
[epoch 46] train_loss: 0.567  val_accuracy: 0.749
[epoch 51] train_loss: 0.507  val_accuracy: 0.756
[epoch 55] train_loss: 0.445  val_accuracy: 0.757
[epoch 56] train_loss: 0.462  val_accuracy: 0.760
[epoch 62] train_loss: 0.411  val_accuracy: 0.760
[epoch 64] train_loss: 0.373  val_accuracy: 0.762
[epoch 71] train_loss: 0.360  val_accuracy: 0.763
[epoch 91] train_loss: 0.284  val_accuracy: 0.769
[epoch 95] train_loss: 0.271  val_accuracy: 0.773
