[epoch 1] train_loss: 4.772  val_accuracy: 0.498
[epoch 2] train_loss: 2.187  val_accuracy: 0.588
[epoch 3] train_loss: 1.732  val_accuracy: 0.642
[epoch 4] train_loss: 1.553  val_accuracy: 0.643
[epoch 5] train_loss: 1.451  val_accuracy: 0.646
[epoch 6] train_loss: 1.347  val_accuracy: 0.679
[epoch 7] train_loss: 1.292  val_accuracy: 0.687
[epoch 9] train_loss: 1.211  val_accuracy: 0.706
[epoch 10] train_loss: 1.147  val_accuracy: 0.719
[epoch 12] train_loss: 1.090  val_accuracy: 0.729
[epoch 15] train_loss: 0.984  val_accuracy: 0.734
[epoch 16] train_loss: 0.966  val_accuracy: 0.743
[epoch 18] train_loss: 0.896  val_accuracy: 0.763
[epoch 23] train_loss: 0.790  val_accuracy: 0.774
[epoch 35] train_loss: 0.599  val_accuracy: 0.799
[epoch 43] train_loss: 0.508  val_accuracy: 0.808
[epoch 46] train_loss: 0.475  val_accuracy: 0.814
[epoch 58] train_loss: 0.396  val_accuracy: 0.824
[epoch 67] train_loss: 0.354  val_accuracy: 0.832
