[epoch 1] train_loss: 5.445  val_accuracy: 0.470
[epoch 2] train_loss: 2.523  val_accuracy: 0.587
[epoch 3] train_loss: 1.942  val_accuracy: 0.599
[epoch 4] train_loss: 1.694  val_accuracy: 0.623
[epoch 6] train_loss: 1.449  val_accuracy: 0.676
[epoch 11] train_loss: 1.179  val_accuracy: 0.693
[epoch 12] train_loss: 1.154  val_accuracy: 0.718
[epoch 13] train_loss: 1.102  val_accuracy: 0.722
[epoch 16] train_loss: 0.999  val_accuracy: 0.738
[epoch 20] train_loss: 0.907  val_accuracy: 0.746
[epoch 21] train_loss: 0.881  val_accuracy: 0.753
[epoch 24] train_loss: 0.834  val_accuracy: 0.761
[epoch 26] train_loss: 0.786  val_accuracy: 0.761
[epoch 29] train_loss: 0.742  val_accuracy: 0.782
[epoch 36] train_loss: 0.633  val_accuracy: 0.786
[epoch 38] train_loss: 0.613  val_accuracy: 0.786
[epoch 40] train_loss: 0.596  val_accuracy: 0.802
[epoch 41] train_loss: 0.594  val_accuracy: 0.802
[epoch 59] train_loss: 0.414  val_accuracy: 0.807
[epoch 67] train_loss: 0.379  val_accuracy: 0.810
[epoch 72] train_loss: 0.358  val_accuracy: 0.814
[epoch 91] train_loss: 0.295  val_accuracy: 0.815
