[epoch 1] train_loss: 4.793  val_accuracy: 0.512
[epoch 2] train_loss: 2.204  val_accuracy: 0.597
[epoch 3] train_loss: 1.771  val_accuracy: 0.599
[epoch 4] train_loss: 1.570  val_accuracy: 0.662
[epoch 5] train_loss: 1.436  val_accuracy: 0.679
[epoch 7] train_loss: 1.276  val_accuracy: 0.703
[epoch 10] train_loss: 1.182  val_accuracy: 0.720
[epoch 12] train_loss: 1.048  val_accuracy: 0.723
[epoch 14] train_loss: 1.010  val_accuracy: 0.728
[epoch 15] train_loss: 0.981  val_accuracy: 0.753
[epoch 19] train_loss: 0.877  val_accuracy: 0.761
[epoch 21] train_loss: 0.829  val_accuracy: 0.772
[epoch 26] train_loss: 0.716  val_accuracy: 0.778
[epoch 30] train_loss: 0.670  val_accuracy: 0.782
[epoch 31] train_loss: 0.669  val_accuracy: 0.783
[epoch 32] train_loss: 0.628  val_accuracy: 0.788
[epoch 43] train_loss: 0.529  val_accuracy: 0.802
[epoch 76] train_loss: 0.416  val_accuracy: 0.816
