[epoch 1] train_loss: 5.437  val_accuracy: 0.476
[epoch 2] train_loss: 2.572  val_accuracy: 0.534
[epoch 3] train_loss: 1.944  val_accuracy: 0.629
[epoch 5] train_loss: 1.555  val_accuracy: 0.635
[epoch 6] train_loss: 1.454  val_accuracy: 0.678
[epoch 10] train_loss: 1.207  val_accuracy: 0.684
[epoch 11] train_loss: 1.189  val_accuracy: 0.695
[epoch 15] train_loss: 1.040  val_accuracy: 0.716
[epoch 16] train_loss: 1.000  val_accuracy: 0.735
[epoch 18] train_loss: 0.959  val_accuracy: 0.735
[epoch 21] train_loss: 0.892  val_accuracy: 0.743
[epoch 22] train_loss: 0.862  val_accuracy: 0.752
[epoch 23] train_loss: 0.850  val_accuracy: 0.762
[epoch 27] train_loss: 0.765  val_accuracy: 0.773
[epoch 28] train_loss: 0.769  val_accuracy: 0.774
[epoch 32] train_loss: 0.692  val_accuracy: 0.782
[epoch 33] train_loss: 0.661  val_accuracy: 0.790
[epoch 57] train_loss: 0.459  val_accuracy: 0.810
[epoch 68] train_loss: 0.411  val_accuracy: 0.810
[epoch 77] train_loss: 0.403  val_accuracy: 0.817
[epoch 93] train_loss: 0.390  val_accuracy: 0.817
