[epoch 1] train_loss: 6.934  val_accuracy: 0.265
[epoch 2] train_loss: 4.060  val_accuracy: 0.452
[epoch 3] train_loss: 2.792  val_accuracy: 0.552
[epoch 4] train_loss: 2.279  val_accuracy: 0.566
[epoch 5] train_loss: 1.985  val_accuracy: 0.574
[epoch 6] train_loss: 1.803  val_accuracy: 0.632
[epoch 7] train_loss: 1.669  val_accuracy: 0.644
[epoch 8] train_loss: 1.600  val_accuracy: 0.658
[epoch 16] train_loss: 1.246  val_accuracy: 0.687
[epoch 17] train_loss: 1.180  val_accuracy: 0.688
[epoch 18] train_loss: 1.167  val_accuracy: 0.700
[epoch 19] train_loss: 1.147  val_accuracy: 0.713
[epoch 25] train_loss: 1.012  val_accuracy: 0.714
[epoch 30] train_loss: 0.921  val_accuracy: 0.718
[epoch 32] train_loss: 0.909  val_accuracy: 0.756
[epoch 43] train_loss: 0.764  val_accuracy: 0.773
[epoch 51] train_loss: 0.677  val_accuracy: 0.781
[epoch 61] train_loss: 0.571  val_accuracy: 0.782
[epoch 66] train_loss: 0.534  val_accuracy: 0.792
[epoch 87] train_loss: 0.420  val_accuracy: 0.797
[epoch 91] train_loss: 0.397  val_accuracy: 0.799
[epoch 109] train_loss: 0.350  val_accuracy: 0.802
[epoch 114] train_loss: 0.329  val_accuracy: 0.805
[epoch 124] train_loss: 0.293  val_accuracy: 0.809
[epoch 156] train_loss: 0.253  val_accuracy: 0.822
