[epoch 1] train_loss: 4.794  val_accuracy: 0.518
[epoch 2] train_loss: 2.190  val_accuracy: 0.609
[epoch 4] train_loss: 1.564  val_accuracy: 0.654
[epoch 7] train_loss: 1.301  val_accuracy: 0.688
[epoch 9] train_loss: 1.188  val_accuracy: 0.712
[epoch 13] train_loss: 1.045  val_accuracy: 0.739
[epoch 16] train_loss: 0.952  val_accuracy: 0.749
[epoch 19] train_loss: 0.871  val_accuracy: 0.786
[epoch 34] train_loss: 0.630  val_accuracy: 0.801
[epoch 55] train_loss: 0.485  val_accuracy: 0.807
[epoch 61] train_loss: 0.460  val_accuracy: 0.807
[epoch 70] train_loss: 0.438  val_accuracy: 0.823
