[epoch 1] train_loss: 6.863  val_accuracy: 0.223
[epoch 2] train_loss: 5.944  val_accuracy: 0.272
[epoch 3] train_loss: 4.658  val_accuracy: 0.472
[epoch 4] train_loss: 3.371  val_accuracy: 0.568
[epoch 5] train_loss: 2.491  val_accuracy: 0.629
[epoch 6] train_loss: 2.068  val_accuracy: 0.636
[epoch 7] train_loss: 1.823  val_accuracy: 0.662
[epoch 11] train_loss: 1.416  val_accuracy: 0.669
[epoch 13] train_loss: 1.327  val_accuracy: 0.677
[epoch 15] train_loss: 1.244  val_accuracy: 0.704
[epoch 16] train_loss: 1.217  val_accuracy: 0.710
[epoch 17] train_loss: 1.194  val_accuracy: 0.717
[epoch 21] train_loss: 1.073  val_accuracy: 0.728
[epoch 33] train_loss: 0.799  val_accuracy: 0.740
[epoch 34] train_loss: 0.785  val_accuracy: 0.749
[epoch 41] train_loss: 0.650  val_accuracy: 0.765
[epoch 84] train_loss: 0.292  val_accuracy: 0.766
[epoch 89] train_loss: 0.295  val_accuracy: 0.772
[epoch 98] train_loss: 0.303  val_accuracy: 0.775
[epoch 104] train_loss: 0.259  val_accuracy: 0.778
[epoch 121] train_loss: 0.247  val_accuracy: 0.780
[epoch 123] train_loss: 0.257  val_accuracy: 0.784
[epoch 124] train_loss: 0.256  val_accuracy: 0.789
[epoch 132] train_loss: 0.241  val_accuracy: 0.797
[epoch 151] train_loss: 0.237  val_accuracy: 0.798
[epoch 154] train_loss: 0.235  val_accuracy: 0.806
[epoch 157] train_loss: 0.247  val_accuracy: 0.816
[epoch 241] train_loss: 0.205  val_accuracy: 0.816
[epoch 242] train_loss: 0.219  val_accuracy: 0.818
[epoch 244] train_loss: 0.215  val_accuracy: 0.820
[epoch 250] train_loss: 0.231  val_accuracy: 0.832
