[epoch 1] train_loss: 4.776  val_accuracy: 0.520
[epoch 2] train_loss: 2.193  val_accuracy: 0.589
[epoch 3] train_loss: 1.758  val_accuracy: 0.615
[epoch 4] train_loss: 1.546  val_accuracy: 0.633
[epoch 5] train_loss: 1.450  val_accuracy: 0.657
[epoch 6] train_loss: 1.380  val_accuracy: 0.664
[epoch 7] train_loss: 1.302  val_accuracy: 0.684
[epoch 9] train_loss: 1.167  val_accuracy: 0.716
[epoch 14] train_loss: 1.003  val_accuracy: 0.736
[epoch 16] train_loss: 0.956  val_accuracy: 0.741
[epoch 17] train_loss: 0.938  val_accuracy: 0.753
[epoch 18] train_loss: 0.893  val_accuracy: 0.777
[epoch 32] train_loss: 0.639  val_accuracy: 0.778
[epoch 37] train_loss: 0.570  val_accuracy: 0.789
[epoch 39] train_loss: 0.574  val_accuracy: 0.795
[epoch 43] train_loss: 0.513  val_accuracy: 0.798
[epoch 48] train_loss: 0.488  val_accuracy: 0.798
[epoch 56] train_loss: 0.443  val_accuracy: 0.799
[epoch 58] train_loss: 0.431  val_accuracy: 0.817
