[epoch 1] train_loss: 4.804  val_accuracy: 0.526
[epoch 2] train_loss: 2.214  val_accuracy: 0.583
[epoch 3] train_loss: 1.778  val_accuracy: 0.613
[epoch 4] train_loss: 1.566  val_accuracy: 0.634
[epoch 5] train_loss: 1.446  val_accuracy: 0.665
[epoch 7] train_loss: 1.289  val_accuracy: 0.682
[epoch 9] train_loss: 1.185  val_accuracy: 0.724
[epoch 13] train_loss: 1.029  val_accuracy: 0.727
[epoch 14] train_loss: 1.004  val_accuracy: 0.743
[epoch 15] train_loss: 0.967  val_accuracy: 0.752
[epoch 18] train_loss: 0.916  val_accuracy: 0.763
[epoch 23] train_loss: 0.804  val_accuracy: 0.765
[epoch 24] train_loss: 0.784  val_accuracy: 0.780
[epoch 34] train_loss: 0.591  val_accuracy: 0.790
[epoch 38] train_loss: 0.578  val_accuracy: 0.797
[epoch 49] train_loss: 0.473  val_accuracy: 0.804
[epoch 70] train_loss: 0.399  val_accuracy: 0.811
[epoch 73] train_loss: 0.390  val_accuracy: 0.818
